0;724711
1;786020
2;773830
3;782423
4;797764
5;806985
6;813028
7;789459
8;784585
9;758158
10;758910
11;747682
12;766458
13;755318
14;773637
15;768874
16;758538
17;769569
18;785932
19;781687
20;808872
21;841475
22;896256
23;916419
24;943851
25;974583
26;960813
27;945076
28;957050
29;988725
30;1008989
31;1039191
32;1132170
33;1121071
34;1148331
35;1127210
36;1110221
37;1077830
38;1071318
39;1072332
40;1089399
41;1078198
42;1080211
43;1026834
44;1009558
45;996382
46;974472
47;946454
48;956236
49;959060
50;1037811
51;1142926
52;1179605
53;1260300
54;1311421
55;1336750
56;1364843
57;1359596
58;1377425
59;1357591
60;1314013
61;1291918
62;1238058
63;1194921
64;1118964
65;1088293
66;1054196
67;1010093
68;980713
69;937604
70;925445
71;896307
72;882261
73;839130
74;752072
75;693604
76;590028
77;506237
78;660703
79;652633
80;613796
81;719963
82;722205
83;675973
84;589512
85;2699436
