0;791254
1;780795
2;789145
3;803334
4;810805
5;816142
6;789397
7;779278
8;752469
9;750855
10;734666
11;752600
12;741247
13;760080
14;754868
15;740018
16;750057
17;766249
18;772950
19;797706
20;831435
21;884287
22;902991
23;930132
24;973682
25;968595
26;953757
27;966208
28;994633
29;1009536
30;1042411
31;1134154
32;1118705
33;1141779
34;1116555
35;1094982
36;1061333
37;1053033
38;1053223
39;1072623
40;1062573
41;1066630
42;1014635
43;999583
44;988878
45;969960
46;943804
47;954234
48;959948
49;1036458
50;1135710
51;1174754
52;1257877
53;1313453
54;1343318
55;1374519
56;1373938
57;1394414
58;1376677
59;1327249
60;1300524
61;1250775
62;1208290
63;1134297
64;1100158
65;1061809
66;1020393
67;991948
68;951916
69;941864
70;913046
71;902997
72;862165
73;776134
74;718950
75;614207
76;530053
77;694896
78;691201
79;653265
80;769265
81;777644
82;732760
83;644569
84;561973
85;2625444
