0;689834
1;739396
2;793110
3;780001
4;789018
5;803981
6;811968
7;819428
8;796805
9;791898
10;765417
11;766222
12;754679
13;773408
14;762581
15;782622
16;781151
17;772651
18;792971
19;816315
20;813035
21;837149
22;870130
23;928917
24;946787
25;973295
26;1002587
27;985655
28;967455
29;976773
30;1005785
31;1025104
32;1053581
33;1145120
34;1133261
35;1159672
36;1137901
37;1120036
38;1087415
39;1079970
40;1079899
41;1096264
42;1084454
43;1085776
44;1031820
45;1013824
46;999462
47;977295
48;948564
49;957877
50;959577
51;1037940
52;1141829
53;1177688
54;1256958
55;1307494
56;1331523
57;1358809
58;1352516
59;1369423
60;1349445
61;1304897
62;1281497
63;1226809
64;1182724
65;1106221
66;1074054
67;1039705
68;995379
69;965316
70;921507
71;908307
72;878105
73;862652
74;818394
75;732018
76;673200
77;570401
78;487757
79;634578
80;623451
81;583715
82;681158
83;678282
84;630184
85;2844213
