datenstand	destatis_categ	bevoelkerung	region_name	divi2model_categ	icu_categ	icuage_categ	model_categ	impf_categ	rki_categ	divi_categ	hosp_categ	dunkelziffer_categ	quelle	region_level	region_id	Bundesland	Verstaedterung_Bezeichnung	Reisegebiete_Bezeichnung	Flaeche_km2	country	Bundesland_id
2022-12-31	11-Jährige	102670	Baden-Württemberg	A0-14	Stratum_17_Minus	altersgruppe_0_bis_17	A00-A14	05-11	A05-A14	Kinder	05-14	Dunkelziffer_0-14	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	12-Jährige	105317	Baden-Württemberg	A0-14	Stratum_17_Minus	altersgruppe_0_bis_17	A00-A14	12-17	A05-A14	Kinder	05-14	Dunkelziffer_0-14	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	13-Jährige	104553	Baden-Württemberg	A0-14	Stratum_17_Minus	altersgruppe_0_bis_17	A00-A14	12-17	A05-A14	Kinder	05-14	Dunkelziffer_0-14	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	14-Jährige	106894	Baden-Württemberg	A0-14	Stratum_17_Minus	altersgruppe_0_bis_17	A00-A14	12-17	A05-A14	Kinder	05-14	Dunkelziffer_0-14	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	15-Jährige	107073	Baden-Württemberg	A15-17	Stratum_17_Minus	altersgruppe_0_bis_17	A15-A34	12-17	A15-A34	Kinder	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	16-Jährige	106251	Baden-Württemberg	A15-17	Stratum_17_Minus	altersgruppe_0_bis_17	A15-A34	12-17	A15-A34	Kinder	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	17-Jährige	108412	Baden-Württemberg	A15-17	Stratum_17_Minus	altersgruppe_0_bis_17	A15-A34	12-17	A15-A34	Kinder	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	18-Jährige	112012	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	19-Jährige	115021	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	20-Jährige	118713	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
