destatis_categ;divi2model_categ;icu_categ;icuage_categ;model_categ;impf_categ;rki_categ;divi_categ;hosp_categ;dunkelziffer_categ
40-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
41-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
42-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
43-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
44-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
45-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
46-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
47-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
48-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
49-Jährige;A40-49;Stratum_40_Bis_49;altersgruppe_40_bis_49;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
50-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
51-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
52-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
53-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
54-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
55-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
56-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
57-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
58-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
59-Jährige;A50-59;Stratum_50_Bis_59;altersgruppe_50_bis_59;A35-A59;18-59;A35-A59;Erwachsene;35-59;Dunkelziffer_35-59
60-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
61-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
62-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
63-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
64-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
65-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
66-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
67-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
68-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
69-Jährige;A60-69;Stratum_60_Bis_69;altersgruppe_60_bis_69;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
70-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
71-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
72-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
73-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
74-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
75-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
76-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
77-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
78-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
