Bundesland	DatumDesMittwochs	Dunkelziffer_0-14	Dunkelziffer_15-34	Dunkelziffer_35-59	Dunkelziffer_60-79	Dunkelziffer_>=80	Dunkelziffer_all
Bremen	2020-03-18	0.74808967533666	0.963943216361449	0.992417643230967	1.04642687611548	1.04448702539836	0.979919492787012
Bremen	2020-03-25	0	0	0	0	0	0
Bremen	2020-04-01	0	0	0	0	0	0
Bremen	2020-04-08	0	0	0	0	0	0
Bremen	2020-04-15	0	0	0	0	0	0
Bremen	2020-04-22	0	0	0	0	0	0
Bremen	2020-04-29	0.656460793098741	0.761170758719776	0.742556618213984	0.76701325126863	0.822199536577861	0.772692248383151
Bremen	2020-05-06	0	0	0	0	0	0
Bremen	2020-05-13	0	0	0	0	0	0
Bremen	2020-05-20	0	0	0	0	0	0
Bremen	2020-05-27	0	0	0	0	0	0
Bremen	2020-06-03	0	0	0	0	0	0
Bremen	2020-06-10	0	0	0	0	0	0
Bremen	2020-06-17	0	0	0	0	0	0
Bremen	2020-06-24	0	0	0	0	0	0
Bremen	2020-07-01	0	0	0	0	0	0
Bremen	2020-07-08	0	0	0	0	0	0
Bremen	2020-07-15	0	0	0	0	0	0
Bremen	2020-07-22	0	0	0	0	0	0
Bremen	2020-07-29	0	0	0	0	0	0
Bremen	2020-08-05	0.463912944933238	0.499980007259094	0.435569408421751	0.303505496344921	0.206501376525557	0.435569408421751
Bremen	2020-08-12	0.3177088394988	0.359453645591757	0.261680644487319	0.107338655160584	0.0527328571554043	0.261680644487319
Bremen	2020-08-19	0.338565288602387	0.408886631278355	0.316095477411852	0.226621621089836	0.0527328571554043	0.338565288602387
Bremen	2020-08-26	0.419589123358056	0.521827319554205	0.435569408421751	0.329145701148022	0.197655259027775	0.435569408421751
Bremen	2020-09-02	0.454934742770925	0.55650422212172	0.440897828097235	0.406220925529721	0.309216805710357	0.470246310989265
Bremen	2020-09-09	0.558832255927701	0.624972349114785	0.547513075934301	0.4927161221798	0.415640897798102	0.547513075934301
Bremen	2020-09-16	0	0	0	0	0	0
Bremen	2020-09-23	0.730296401394489	0.80497756780603	0.758786353483856	0.697976913213873	0.697976913213873	0.758786353483856
Bremen	2020-09-30	0.610123339210703	0.680349760478158	0.645286077038739	0.60250253792425	0.547513075934301	0.645286077038739
Bremen	2020-10-07	0.808744525599182	0.864443920472082	0.839682714791279	0.811372864232385	0.765889475159437	0.830689996286955
Bremen	2020-10-14	0.710377827153565	0.780040981886503	0.769690001988486	0.741248799371707	0.700804333609312	0.758786353483856
Bremen	2020-10-21	0.86185646092435	0.919681112623985	0.912972968795912	0.883809809159793	0.875844455296992	0.902499787727457
Bremen	2020-10-28	0.752860913195298	0.80596773138946	0.803224344858483	0.79189781377216	0.779956128257622	0.79189781377216
Bremen	2020-11-04	0.790801386559023	0.848603673405022	0.840936530532345	0.83832163659019	0.856019487331371	0.83567587233678
Bremen	2020-11-11	0.884105061302987	0.941094560178921	0.936475261607867	0.938796473527555	0.958704755840549	0.929367500081329
Bremen	2020-11-18	0.791573993195895	0.852223057456363	0.856708121182793	0.856708121182793	0.906608697023196	0.849947585091961
Bremen	2020-11-25	0.653393943139863	0.705372667288211	0.712407810085946	0.725866770505341	0.803510291329705	0.710086598166257
Bremen	2020-12-02	0.775855034562051	0.827036746111385	0.833545698406151	0.848069574807594	0.934052348370473	0.83567587233678
Bremen	2020-12-09	0.84383856009189	0.88640091288513	0.902244353375445	0.917118017163308	1.00896827765452	0.906048199462117
Bremen	2020-12-16	0.971841491938721	1.01045261726695	1.02742555548378	1.07387547083536	1.16741807222173	1.04326899597409
Bremen	2020-12-23	0.794138260092326	0.84383966711924	0.86616015786113	0.931781272255624	1.00294552887313	0.858942656079018
Bremen	2020-12-30	0.885511400578898	0.912198607312314	0.92426921712941	0.952306022632649	1.00927837970722	0.938639753614278
Bremen	2021-01-06	0.998908415023145	0.99090364588141	0.987420865132025	1.00601037269886	1.08223659667214	1.00601037269886
Bremen	2021-01-13	0	0	0	0	0	0
Bremen	2021-01-20	0.998590891632875	0.974418063484819	0.972048998079568	0.992543101296699	1.09736889922399	0.996862249259667
Bremen	2021-01-27	0.887748879728443	0.861298946750352	0.861298946750352	0.886178874565044	0.980352459540306	0.883809809159793
Bremen	2021-02-03	0.921574946625624	0.871263759988303	0.865126367494672	0.885894185322111	0.979696848434791	0.891484886217868
Bremen	2021-02-10	0.898080245655138	0.833553053806544	0.830118681063652	0.846766754342327	0.922061632841353	0.849947585091961
Bremen	2021-02-17	0.976693470403329	0.916300872820297	0.905827691751841	0.912866500077404	0.96764214777807	0.919681112623985
Bremen	2021-02-24	0.756145624287494	0.700313436853989	0.684164284332943	0.677349671786362	0.703403738976324	0.690769466111687
Bremen	2021-03-03	1.08293687684029	1.03735200258777	1.02780803184547	1.00007004909541	1.00007004909541	1.02120285006672
Bremen	2021-03-10	1.04404106772161	1.04863760485417	1.04304690395842	0.999315321063351	0.973586534170124	1.02536938825331
Bremen	2021-03-17	1.09292420188953	1.13742505722928	1.13266216117554	1.08154742705669	1.03439255966028	1.10722191719609
Bremen	2021-03-24	1.15162175921967	1.18798342846768	1.18176072305062	1.13795050159368	1.06660607244602	1.15507525677077
Bremen	2021-03-31	1.04449877001023	1.08839528525756	1.08659757940915	1.04965776971392	0.951413310025541	1.05994036561036
Bremen	2021-04-07	1.19138643957712	1.19425601647387	1.18941154929072	1.13093443596504	1.02191825631133	1.16007272555226
Bremen	2021-04-14	1.19500703785324	1.18456728950075	1.16487116586907	1.11599132544073	1.00566902033733	1.14351443820325
Bremen	2021-04-21	0.895182582149248	0.88862910888834	0.877462246857849	0.823079872738088	0.70315434133188	0.849947585091961
Bremen	2021-04-28	0.807426911864656	0.807418207598357	0.803982868032243	0.74788551486946	0.622925318742579	0.772692248383151
Bremen	2021-05-05	1.11413171839102	1.09018865691321	1.08454860921909	1.02912475798451	0.8983129263304	1.0563318398131
Bremen	2021-05-12	1.20675156669811	1.18190517284817	1.17162257695173	1.10650289541867	0.970758743273948	1.13283817516103
Bremen	2021-05-19	1.12013344043909	1.0968577845465	1.07740044158525	1.01367590198753	0.888652446311588	1.03940468888075
Bremen	2021-05-26	0	0	0	0	0	0
Bremen	2021-06-02	1.2018345049864	1.15264324182097	1.11848837694038	1.01722867722202	0.915983779161709	1.08384650157899
Bremen	2021-06-09	1.14683404483939	1.11816689717572	1.07319687988979	0.959696603444674	0.839453791149701	1.03348984307652
Bremen	2021-06-16	0	0	0	0	0	0
Bremen	2021-06-23	0	0	0	0	0	0
Bremen	2021-06-30	0	0	0	0	0	0
Bremen	2021-07-07	0.906046263253319	1.02432157076172	0.891484886217868	0.737142896891134	0.682537098885954	0.891484886217868
Bremen	2021-07-14	0	0	0	0	0	0
Bremen	2021-07-21	0	0	0	0	0	0
Bremen	2021-07-28	0	0	0	0	0	0
Bremen	2021-08-04	0	0	0	0	0	0
Bremen	2021-08-11	1.22354143750363	1.2269510661815	1.12035684404486	0.859594721621485	0.761821720517048	1.09811845374254
Bremen	2021-08-18	1.2167164680889	1.21759981596562	1.12692545464768	0.852121883375139	0.759869703819152	1.09811845374254
Bremen	2021-08-25	1.13919234491207	1.17081044916265	1.10014206127004	0.851631459586472	0.769708677315007	1.0563318398131
Bremen	2021-09-01	1.05361227498679	1.06192954418806	1.00632881930031	0.789803467636185	0.710768381536374	0.96699169171877
Bremen	2021-09-08	1.17423818596993	1.18903151587839	1.14570078795978	0.95646877920305	0.896748767355189	1.10572601238584
Bremen	2021-09-15	1.25583527023066	1.22257003969004	1.18902925352386	1.01961378217967	0.965134677029483	1.15254494473881
Bremen	2021-09-22	1.06615613611799	1.00770441717952	0.989172668413583	0.83974715645405	0.781765136579505	0.953270178948085
Bremen	2021-09-29	1.27896086669623	1.22324337069535	1.21272045817963	1.06874523081489	1.0210984628091	1.17459288375764
Bremen	2021-10-06	1.16575076751556	1.10954479714861	1.10954479714861	0.98309680136052	0.946309476199627	1.06873977476153
Bremen	2021-10-13	0.91355584375762	0.851310963425155	0.860837905971462	0.743840522351384	0.709274824223178	0.825579923086615
Bremen	2021-10-20	0	0	0	0	0	0
Bremen	2021-10-27	1.11474132119999	1.09412365653196	1.10662025821898	1.02239425733155	0.977685037684164	1.05994036561036
Bremen	2021-11-03	0.835252724127244	0.81416579096782	0.83378391185764	0.753846599477069	0.705340516895022	0.78569714102755
Bremen	2021-11-10	0.991143255508187	0.944485838664777	0.970690279201321	0.91569199960954	0.855996025772721	0.932502361120647
Bremen	2021-11-17	1.01947055052851	0.973028648287175	1.00487984263096	0.960833657266509	0.900121008788013	0.96699169171877
Bremen	2021-11-24	1.08356076683708	1.04012026866154	1.07717529911934	1.03664462358628	0.969018402095007	1.03547764154216
Bremen	2021-12-01	1.15069271020659	1.10669847980687	1.14295087069535	1.09123812911649	1.02281946313186	1.0996574441179
Bremen	2021-12-08	1.25542935349944	1.21065829234504	1.23757851104129	1.18124712760091	1.10978099531401	1.1963059559433
Bremen	2021-12-15	1.30756701906916	1.26032104647451	1.27938823292008	1.20500212917675	1.14295855094837	1.23600608104353
Bremen	2021-12-22	1.2600188099977	1.23199768974965	1.23943269602447	1.17223573311134	1.09896053632198	1.19741005191953
Bremen	2021-12-29	1.63641925558303	1.55333010273207	1.50786044654399	1.40702086531313	1.31646076732333	1.49089988198814
Bremen	2022-01-05	1.57893563635862	1.55618178001392	1.47510565766714	1.35025720928384	1.26064542563052	1.46486081796017
Bremen	2022-01-12	1.54403235090117	1.59238715998963	1.53266714814177	1.38497085124405	1.28443939655407	1.49864524079442
Bremen	2022-01-19	1.57886217050919	1.60097187938829	1.57468488784421	1.41386787317781	1.30217637159902	1.52941448465347
Bremen	2022-01-26	1.6244787101632	1.6095434694517	1.5928428874618	1.42750099866639	1.3101555675419	1.54729080216082
Bremen	2022-02-02	1.62956759686465	1.59177543004892	1.57739482011483	1.4231214769723	1.32254266270082	1.53021775231891
Bremen	2022-02-09	1.6561228316202	1.63898776546028	1.62763634898377	1.49176143294513	1.41111658126653	1.57506457888403
Bremen	2022-02-16	1.67519531770283	1.67096997500705	1.65350395939581	1.51272655184014	1.44104640302102	1.59349461556093
Bremen	2022-02-23	1.67056457489869	1.66522265119346	1.64777205945625	1.51423592306388	1.45190973825615	1.58463518782483
Bremen	2022-03-02	1.71777234764521	1.7245901008603	1.68446515998089	1.5470564336445	1.46351553243616	1.63368126052884
Bremen	2022-03-09	1.77300497096087	1.8396907130714	1.80636334109156	1.68732830170517	1.58841113609465	1.74215457855105
Bremen	2022-03-16	1.70892207606154	1.76027835906373	1.74737772498195	1.64663049739359	1.54088985684927	1.67843153052865
Bremen	2022-03-23	1.7423664824718	1.79462462962771	1.79063215596838	1.6923200144274	1.59065382179672	1.71729732933911
Bremen	2022-03-30	1.73770194859713	1.79286923583979	1.79132486748284	1.69162739772001	1.59716916753915	1.71604540084554
Bremen	2022-04-06	1.79738381295404	1.83753252645358	1.82835343257855	1.71122203293245	1.61853947834552	1.75472863845096
Bremen	2022-04-13	1.95272246086301	1.95227507864179	1.94217672407706	1.8137953908777	1.69955200755838	1.87214820883537
Bremen	2022-04-20	1.85294418884579	1.85527277212608	1.83849456960819	1.6997138690412	1.58918060409769	1.76940802426591
Bremen	2022-04-27	1.71545901420213	1.76556623187961	1.7480460171765	1.62726356578804	1.53000452894101	1.67292885650902
Bremen	2022-05-04	1.88381236147965	1.81222260708819	1.80759986514894	1.66795005034568	1.55282735252406	1.74215457855105
Bremen	2022-05-11	1.92291007670349	1.86821017336319	1.86505759983649	1.71690394953702	1.5983865766591	1.79638728369358
Bremen	2022-05-18	1.86357765664541	1.81834149106815	1.80986276997742	1.66497959972856	1.55132683647523	1.74215457855105
